TRACE_FILE,AMAT_hacia_l3
400.perlbench-41B.trace.txt.gz,4320104.864268
401.bzip2-226B.trace.txt.gz,53483602.232788995
403.gcc-16B.trace.txt.gz,300373847.157898
410.bwaves-1963B.trace.txt.gz,132230302.19692598
416.gamess-875B.trace.txt.gz,25396472.7370625
429.mcf-184B.trace.txt.gz,5240194552.068749
433.milc-127B.trace.txt.gz,315884151.828736
435.gromacs-111B.trace.txt.gz,16189021.702000001
436.cactusADM-1804B.trace.txt.gz,16576085.724024998
437.leslie3d-134B.trace.txt.gz,18148272.182666503
444.namd-120B.trace.txt.gz,11814540.9195385
445.gobmk-17B.trace.txt.gz,27266303.7446505
450.soplex-247B.trace.txt.gz,1922144314.597833
453.povray-887B.trace.txt.gz,59753896.32875
454.calculix-104B.trace.txt.gz,4607905.123924
456.hmmer-191B.trace.txt.gz,15636517.123125
458.sjeng-1088B.trace.txt.gz,17201361.268106
459.GemsFDTD-1169B.trace.txt.gz,213211412.972875
462.libquantum-1343B.trace.txt.gz,208353011.00456247
464.h264ref-30B.trace.txt.gz,4857462.699008
465.tonto-1769B.trace.txt.gz,500166765.7403421
470.lbm-1274B.trace.txt.gz,518880375.03062403
471.omnetpp-188B.trace.txt.gz,307955271.370629
473.astar-153B.trace.txt.gz,15914555.00796
481.wrf-1170B.trace.txt.gz,14892968.382904
482.sphinx3-1100B.trace.txt.gz,89786724.32871999
483.xalancbmk-127B.trace.txt.gz,278509515.133952
400.perlbench-41B.trace.txt.gz,4320104.864268
401.bzip2-226B.trace.txt.gz,53483602.232788995
403.gcc-16B.trace.txt.gz,300373847.157898
410.bwaves-1963B.trace.txt.gz,132230302.19692598
416.gamess-875B.trace.txt.gz,25396472.7370625
429.mcf-184B.trace.txt.gz,5240855066.85225
433.milc-127B.trace.txt.gz,315884151.828736
435.gromacs-111B.trace.txt.gz,16189021.702000001
436.cactusADM-1804B.trace.txt.gz,16576085.724024998
437.leslie3d-134B.trace.txt.gz,18148272.182666503
444.namd-120B.trace.txt.gz,11814540.9195385
445.gobmk-17B.trace.txt.gz,27266303.7446505
450.soplex-247B.trace.txt.gz,1922539603.2075362
453.povray-887B.trace.txt.gz,59753896.32875
454.calculix-104B.trace.txt.gz,4607905.123924
456.hmmer-191B.trace.txt.gz,15636517.123125
458.sjeng-1088B.trace.txt.gz,17201361.268106
459.GemsFDTD-1169B.trace.txt.gz,213211412.972875
462.libquantum-1343B.trace.txt.gz,208353011.00456247
464.h264ref-30B.trace.txt.gz,4857462.699008
465.tonto-1769B.trace.txt.gz,500166765.7403421
470.lbm-1274B.trace.txt.gz,518880375.03062403
471.omnetpp-188B.trace.txt.gz,307955271.370629
473.astar-153B.trace.txt.gz,15914555.00796
481.wrf-1170B.trace.txt.gz,14892968.382904
482.sphinx3-1100B.trace.txt.gz,89786724.32871999
483.xalancbmk-127B.trace.txt.gz,278509515.133952
400.perlbench-41B.trace.txt.gz,4320104.864268
401.bzip2-226B.trace.txt.gz,53483602.232788995
403.gcc-16B.trace.txt.gz,300373570.20917803
410.bwaves-1963B.trace.txt.gz,132230302.19692598
416.gamess-875B.trace.txt.gz,25396472.7370625
429.mcf-184B.trace.txt.gz,5185454093.456625
433.milc-127B.trace.txt.gz,315884151.828736
435.gromacs-111B.trace.txt.gz,16189021.702000001
436.cactusADM-1804B.trace.txt.gz,16576085.724024998
437.leslie3d-134B.trace.txt.gz,18148272.182666503
444.namd-120B.trace.txt.gz,11814540.9195385
445.gobmk-17B.trace.txt.gz,27266303.7446505
450.soplex-247B.trace.txt.gz,1905753963.1960323
453.povray-887B.trace.txt.gz,59753896.32875
454.calculix-104B.trace.txt.gz,4607905.123924
456.hmmer-191B.trace.txt.gz,15636517.123125
458.sjeng-1088B.trace.txt.gz,17201361.268106
459.GemsFDTD-1169B.trace.txt.gz,213211412.972875
462.libquantum-1343B.trace.txt.gz,208353011.00456247
464.h264ref-30B.trace.txt.gz,4857462.699008
465.tonto-1769B.trace.txt.gz,498043643.097323
470.lbm-1274B.trace.txt.gz,518880375.03062403
471.omnetpp-188B.trace.txt.gz,307950864.699926
473.astar-153B.trace.txt.gz,15914515.278360002
481.wrf-1170B.trace.txt.gz,14892968.382904
482.sphinx3-1100B.trace.txt.gz,89783832.48460001
483.xalancbmk-127B.trace.txt.gz,278509515.133952
400.perlbench-41B.trace.txt.gz,4320104.864268
401.bzip2-226B.trace.txt.gz,53483602.232788995
403.gcc-16B.trace.txt.gz,300373570.20917803
410.bwaves-1963B.trace.txt.gz,132230302.19692598
416.gamess-875B.trace.txt.gz,25396472.7370625
429.mcf-184B.trace.txt.gz,5187331925.877375
433.milc-127B.trace.txt.gz,315884151.828736
435.gromacs-111B.trace.txt.gz,16189021.702000001
436.cactusADM-1804B.trace.txt.gz,16576085.724024998
437.leslie3d-134B.trace.txt.gz,18148272.182666503
444.namd-120B.trace.txt.gz,11814540.9195385
445.gobmk-17B.trace.txt.gz,27266303.7446505
450.soplex-247B.trace.txt.gz,1905859871.9603698
453.povray-887B.trace.txt.gz,59753896.32875
454.calculix-104B.trace.txt.gz,4607905.123924
456.hmmer-191B.trace.txt.gz,15636517.123125
458.sjeng-1088B.trace.txt.gz,17201361.268106
459.GemsFDTD-1169B.trace.txt.gz,213211412.972875
462.libquantum-1343B.trace.txt.gz,208353011.00456247
464.h264ref-30B.trace.txt.gz,4857462.699008
465.tonto-1769B.trace.txt.gz,497944695.89689404
470.lbm-1274B.trace.txt.gz,518880375.03062403
471.omnetpp-188B.trace.txt.gz,307950864.699926
473.astar-153B.trace.txt.gz,15914515.278360002
481.wrf-1170B.trace.txt.gz,14892968.382904
482.sphinx3-1100B.trace.txt.gz,89785422.51649001
483.xalancbmk-127B.trace.txt.gz,278509515.133952
